no	eng	rus	category1	category2
233	In short / in brief	Вкратце	Вводные фразы	устойчивые сочетания
234	In a word	В двух словах	Вводные фразы	устойчивые сочетания
235	As far / as to	Что касается	Вводные фразы	устойчивые сочетания
236	Not to mention	Не говоря уже о	Вводные фразы	устойчивые сочетания
237	First of all/ above all	Прежде всего	Вводные фразы	устойчивые сочетания
238	What’s more	Кроме того	Вводные фразы	устойчивые сочетания
239	By the way	Кстати	Вводные фразы	устойчивые сочетания
240	After all	В итоге; все-таки	Вводные фразы	устойчивые сочетания
241	Just for the record	Для справки; чтобы вы знали	Вводные фразы	устойчивые сочетания
242	And so on and so forth	И так далее	Вводные фразы	устойчивые сочетания
243	If I’m not mistaken	Если я не ошибаюсь	Вводные фразы	устойчивые сочетания
244	In other words	Другими словами	Вводные фразы	устойчивые сочетания
245	On the contrary	Наоборот	Вводные фразы	устойчивые сочетания
246	The thing is	Дело в том, что	Вводные фразы	устойчивые сочетания
247	So as to / so that	Так чтобы	Вводные фразы	устойчивые сочетания
248	Either way	Так или иначе	Вводные фразы	устойчивые сочетания
249	As a rule	Обычно, как правило	Вводные фразы	устойчивые сочетания
250	As well as	Так же, как и	Вводные фразы	устойчивые сочетания
251	All the same	Без разницы	Вводные фразы	устойчивые сочетания
252	On one hand	С одной стороны	Вводные фразы	устойчивые сочетания
253	On the other hand	С другой стороны	Вводные фразы	устойчивые сочетания
254	Such as	Например	Вводные фразы	устойчивые сочетания
255	As I said before	Как я уже говорил	Вводные фразы	устойчивые сочетания
256	Believe it or not, but	Верите или нет, но	Вводные фразы	устойчивые сочетания
257	If I remember rightly / If I recall correctly	Если я правильно помню	Вводные фразы	устойчивые сочетания
930	Taste	Вкус	Вкусы еды	еда
931	Tasty	Вкусный	Вкусы еды	еда
932	Bitter	Горький	Вкусы еды	еда
933	Creamy	Сливочный	Вкусы еды	еда
934	Sweet	Сладкий	Вкусы еды	еда
935	Sour	Кислый	Вкусы еды	еда
936	Spicy	Острый	Вкусы еды	еда
937	Salty	Соленый	Вкусы еды	еда
938	Raw	Сырой	Вкусы еды	еда
939	Fresh	Свежий	Вкусы еды	еда
89	What	Что	вопросы
90	Which	Который	вопросы
91	How	Как	вопросы
92	When	Когда	вопросы
93	Who	Кто	вопросы
742	Monday	Понедельник	Время и числа	дни недели
743	Tuesday	Вторник	Время и числа	дни недели
744	Wednesday	Среда	Время и числа	дни недели
745	Thursday	Четверг	Время и числа	дни недели
746	Friday	Пятница	Время и числа	дни недели
747	Saturday	Суббота	Время и числа	дни недели
748	Sunday	Воскресенье	Время и числа	дни недели
749	January	Январь	Время и числа	месяцы
750	February	Февраль	Время и числа	месяцы
751	March	Март	Время и числа	месяцы
752	April	Апрель	Время и числа	месяцы
753	May	Май	Время и числа	месяцы
754	June	Июнь	Время и числа	месяцы
755	July	Июль	Время и числа	месяцы
756	August	Август	Время и числа	месяцы
757	September	Сентябрь	Время и числа	месяцы
758	October	Октябрь	Время и числа	месяцы
759	November	Ноябрь	Время и числа	месяцы
760	December	Декабрь	Время и числа	месяцы
761	Present	Настоящее	Время и числа
762	Past	Прошлое	Время и числа
763	Future	Будущее	Время и числа
764	Day	День	Время и числа
765	Week	Неделя	Время и числа
766	Month	Месяц	Время и числа
767	Year	Год	Время и числа
768	Century	Век	Время и числа
769	Season	Сезон	Время и числа	времена года
770	Autumn	Осень	Время и числа	времена года
771	Winter	Зима	Время и числа	времена года
772	Spring	Весна	Время и числа	времена года
773	Summer	Лето	Время и числа	времена года
774	Morning	Утро	Время и числа	Время
775	Noon	Полдень	Время и числа	Время
776	Afternoon	Время после полудня	Время и числа	Время
777	Midday	Середина дня /полдень	Время и числа	Время
778	Evening	Вечер	Время и числа	Время
779	Night	Ночь	Время и числа	Время
780	Midnight	Полночь	Время и числа	Время
781	Moment	Мгновение	Время и числа	Время
782	Second	Секунда	Время и числа	Время
783	Minute	Минута	Время и числа	Время
784	Hour	Час	Время и числа	Время
785	Zero	Ноль	Время и числа	Числительные
786	One (first)	Один (первый)	Время и числа	Числительные
787	Two (second)	Два (второй)	Время и числа	Числительные
788	Three (third)	Три (третий)	Время и числа	Числительные
789	Four (fourth)	Четыре (четвертый)	Время и числа	Числительные
790	Five (fifth)	Пять (пятый)	Время и числа	Числительные
791	Six (sixth)	Шесть (шестой)	Время и числа	Числительные
792	Seven (seventh)	Семь (седьмой)	Время и числа	Числительные
793	Eight (eighth)	Восемь (восьмой)	Время и числа	Числительные
794	Nine (ninth)	Девять (девятый)	Время и числа	Числительные
795	Ten (tenth)	Десять (десятый)	Время и числа	Числительные
796	Eleven	Одиннадцать	Время и числа	Числительные
797	Twelve	Двенадцать	Время и числа	Числительные
798	Thirteen	Тринадцать	Время и числа	Числительные
799	Fourteen	Четырнадцать	Время и числа	Числительные
800	Fifteen	Пятнадцать	Время и числа	Числительные
801	Sixteen	Шестнадцать	Время и числа	Числительные
802	Seventeen	Семнадцать	Время и числа	Числительные
803	Eighteen	Восемнадцать	Время и числа	Числительные
804	Nineteen	Девятнадцать	Время и числа	Числительные
805	Twenty	Двадцать	Время и числа	Числительные
806	Thirty	Тридцать	Время и числа	Числительные
807	Forty	Сорок	Время и числа	Числительные
808	Fifty	Пятьдесят	Время и числа	Числительные
809	Sixty	Шестьдесят	Время и числа	Числительные
810	Seventy	Семьдесят	Время и числа	Числительные
811	Eighty	Восемьдесят	Время и числа	Числительные
812	Ninety	Девяносто	Время и числа	Числительные
813	(A / one) hundred	Сто	Время и числа	Числительные
814	(A / one) thousand	Тысяча	Время и числа	Числительные
815	Million	Миллион	Время и числа	Числительные
816	Billion	Миллиард	Время и числа	Числительные
817	Number	Число	Время и числа	Числительные
818	Number/ figure	Цифра	Время и числа
819	Quantity	Количество	Время и числа
820	Couple	Пара	Время и числа
166	Say	Говорить	Глаголы	
167	Make	Делать	Глаголы	
168	Look	Смотреть	Глаголы	
169	Can	Мочь	Глаголы	
170	Love	Любить	Глаголы	
171	Take	Брать	Глаголы	
172	Get	Получать	Глаголы	
173	Go	Идти	Глаголы	
174	Use	Использовать	Глаголы	
175	See	Видеть	Глаголы	
176	Know	Знать	Глаголы	
177	Like	Нравиться	Глаголы	
178	Want	Хотеть	Глаголы	
179	Think	Думать	Глаголы	
180	Come	Приходить	Глаголы	
181	Give	Давать	Глаголы	
941	World	Мир	Животные и природа	Природа
942	Peace	Мир, покой	Животные и природа	Природа
943	Weather	Погода	Животные и природа	Природа
944	Nature	Природа	Животные и природа	Природа
945	Water	Вода	Животные и природа	Природа
946	Air	Воздух	Животные и природа	Природа
947	Earth / land	Земля	Животные и природа	Природа
948	Fire	Огонь	Животные и природа	Природа
949	Ice	Лед	Животные и природа	Природа
950	Sea	Море	Животные и природа	Природа
951	Ocean	Океан	Животные и природа	Природа
952	River	Река	Животные и природа	Природа
953	Sky	Небо	Животные и природа	Природа
954	Sun	Солнце	Животные и природа	Природа
955	Moon	Луна	Животные и природа	Природа
956	Star	Звезда	Животные и природа	Природа
957	Forest	Лес	Животные и природа	Природа
958	Mountain	Гора	Животные и природа	Природа
959	Field	Поле	Животные и природа	Природа
960	Rain	Дождь	Животные и природа	Природа
961	Snow	Снег	Животные и природа	Природа
962	Rainbow	Радуга	Животные и природа	Природа
963	Tree	Дерево	Животные и природа	Природа
964	Plant	Растение	Животные и природа	Природа
965	Area	Область, среда	Животные и природа	Природа
966	Animal	Животное	Животные и природа	Животные
967	Dog	Собака	Животные и природа	Животные
968	Cat	Кот, кошка	Животные и природа	Животные
969	Bird	Птица	Животные и природа	Животные
970	Cow	Корова	Животные и природа	Животные
971	Pig	Свинья	Животные и природа	Животные
972	Fox	Лиса	Животные и природа	Животные
973	Bear	Медведь	Животные и природа	Животные
974	Hare	Заяц	Животные и природа	Животные
516	Cold	Простуда	Здоровье и болезни	
517	Flu	Грипп	Здоровье и болезни	
518	Diabetes	Диабет	Здоровье и болезни	
519	Allergy	Аллергия	Здоровье и болезни	
520	Asthma	Астма	Здоровье и болезни	
521	Tuberculosis	Туберкулез	Здоровье и болезни	
522	Strep throat	Фарингит, больное горло	Здоровье и болезни	
523	Heart disease	Болезнь сердца	Здоровье и болезни	
524	Intestinal parasites	Кишечные паразиты	Здоровье и болезни	
525	Headache	Головная боль	Здоровье и болезни	
526	Stomachache	Боль в желудке	Здоровье и болезни	
527	Backache	Боль в спине	Здоровье и болезни	
528	Toothache	Зубная боль	Здоровье и болезни	
529	Earache	Ушная боль	Здоровье и болезни	
530	Chills	Озноб	Здоровье и болезни	
531	Rash	Сыпь	Здоровье и болезни	
532	Cough	Кашель	Здоровье и болезни	
533	Sneeze	Насморк	Здоровье и болезни	
534	Dizzy	Головокружение	Здоровье и болезни	
535	Cut	Порез	Здоровье и болезни	
536	Bruise	Ушиб	Здоровье и болезни	
537	Sunburn	Солнечный ожог	Здоровье и болезни	
538	Blister	Волдырь	Здоровье и болезни	
539	Bloody nose	Кровь из носа	Здоровье и болезни	
540	Chicken pox	Ветряная оспа	Здоровье и болезни	
999	Home / house	Дом	дом
1000	Building	Здание	дом
1001	Room	Комната	дом
1002	Kitchen	Кухня	дом
1003	Bedroom	Спальня	дом
1004	Bathroom	Ванная	дом
1005	Thing	Вещь	дом
1006	Furniture	Мебель	дом
1007	Armchair	Кресло	дом
1008	Bed	Кровать	дом
1009	Chair	Стул	дом
1010	Key	Ключ	дом
1011	Table	Стол	дом
1012	Soap	Мыло	дом
1013	Computer	Компьютер	дом
1014	Telephone / phone	Телефон	дом
1015	Radio	Радио	дом
1016	Tv	Телевизор	дом
1017	Shelf	Полка	дом
1018	Sofa	Диван	дом
1019	Curtains	Занавески, шторы	дом
1020	Ball	Мяч	дом
1021	Box	Коробка, ящик	дом
1022	Party	Вечеринка	дом
1023	Door	Дверь	дом
1024	Ceiling	Потолок	дом
1025	Floor	Пол, этаж	дом
1026	Wall	Стена	дом
1027	Window	Окно	дом
1028	Camera	Камера	дом
1029	Guest	Гость	дом
1030	Order	Порядок	дом
1031	Mess	Беспорядок	дом
1	I	Я	Местоимения	
2	He	Он	Местоимения	
3	She	Она	Местоимения	
4	You	Ты	Местоимения	
5	We	Мы	Местоимения	
6	They	Они	Местоимения	
7	It	Оно	Местоимения	
9	Me	Меня, мной, мне	Местоимения	
10	Us	Нас, нами, о нас	Местоимения	
11	Her	Ее, ей, о ней	Местоимения	
12	His	Его, ему, о нем	Местоимения	
13	You	Тобой, тебя, тебе	Местоимения	
14	Them	Ими, их, о них	Местоимения	
15	It	Его, ему, о нем, им	Местоимения	
18	this	этот (Предмет один вблизи)	Местоимения	
19	that	тот (Предмет один вдалеке)	Местоимения	
20	These	эти (Предметов много вблизи)	Местоимения	
21	those	те (Предметов много вдалеке)	Местоимения	
48	Not		Наречия	
49	Out		Наречия	
50	Now		Наречия	
51	Much		Наречия	
52	Well		Наречия	
53	Away		Наречия	
54	Always		Наречия	
55	Far		Наречия	
56	When		Наречия	
57	Then		Наречия	
58	Only		Наречия	
59	Before		Наречия	
60	Here		Наречия	
61	Near		Наречия	
62	Together		Наречия	
63	Really		Наречия	
64	There		Наречия	
65	So		Наречия	
66	Very		Наречия	
67	Too		Наречия	
68	Why		Наречия	
69	Below		Наречия	
70	Often		Наречия	
71	Almost		Наречия	
72	How		Наречия	
73	No		Наречия	
74	Just		Наречия	
75	Also		Наречия	
76	Again		Наречия	
77	Last		Наречия	
78	Once		Наречия	
79	Sometimes		Наречия	
80	Up		Наречия	
81	First		Наречия	
82	Where		Наречия	
83	Around		Наречия	
84	Off		Наречия	
85	Never		Наречия	
86	Later		Наречия	
87	Soon		Наречия	
487	Jumper	Джемпер	Одежда	
488	Socks	Носки	Одежда	
489	Pajamas	Пижама	Одежда	
490	Gown	Платье	Одежда	
491	Overcoat	Пальто	Одежда	
492	Jeans	Джинсы	Одежда	
493	Strap	Пояс	Одежда	
494	Pants	Брюки	Одежда	
495	Raincoat	Дождевик	Одежда	
496	Scarf	Шарф	Одежда	
497	Glove	Перчатка	Одежда	
498	Sundress	Сарафан	Одежда	
499	Wind-breaker	Ветровка	Одежда	
500	Shoes	Обувь	Одежда	
501	Slippers	Домашние тапочки	Одежда	
502	Bathing-suit	Купальник	Одежда	
503	Shorts	Шорты	Одежда	
504	Shirt	Рубашка	Одежда	
505	T-shirt	Футболка	Одежда	
506	Sneakers	Кроссовки	Одежда	
507	Undershirt	Майка	Одежда	
508	Sweat-shirt	Толстовка	Одежда	
509	Tie	Галстук	Одежда	
510	Hat	Головной убор	Одежда	
511	Skirt	Юбка	Одежда	
512	Suit	Костюм	Одежда	
513	Underclothes	Нижнее белье	Одежда	
514	Fur coat	Шуба	Одежда	
515	Pantyhose	Колготки	Одежда	
23	To	К(указывает направление)	Предлоги	
24	For	Для	Предлоги	
25	Of	(указывает на родительный падеж)	Предлоги	
26	And	И	Предлоги	
27	In	В	Предлоги	
28	That	Что	Предлоги	
29	Not	Не	Предлоги	
30	On	На	Предлоги	
31	Up	Вверх	Предлоги	
32	About	О	Предлоги	
33	Than	Чем	Предлоги	
34	Back	Обратно	Предлоги	
35	With	С	Предлоги	
36	From	От	Предлоги	
37	As	Как	Предлоги	
38	At	Около, на	Предлоги	
39	But	Но	Предлоги	
40	By	К (указывает на срок)	Предлоги	
41	Or	Или	Предлоги	
42	Because	Потому что	Предлоги	
43	Out	Из, вы-	Предлоги	
44	No	Нет	Предлоги	
45	Into	Внутрь	Предлоги	
46	After	После	Предлоги	
183	Good	хороший.	Прилагательные	
184	New	новый.	Прилагательные	
185	Other	другой.	Прилагательные	
186	Huge		Прилагательные	
187	Each		Прилагательные	
188	More		Прилагательные	
189	Good		Прилагательные	
190	Any		Прилагательные	
191	Large		Прилагательные	
192	Kind		Прилагательные	
193	Light		Прилагательные	
194	Both		Прилагательные	
195	Enough		Прилагательные	
196	Some		Прилагательные	
197	Little		Прилагательные	
198	Mean		Прилагательные	
199	Small		Прилагательные	
200	Such		Прилагательные	
201	Every		Прилагательные	
202	Next		Прилагательные	
203	Young		Прилагательные	
204	Above		Прилагательные	
205	Two		Прилагательные	
206	Most		Прилагательные	
207	Old		Прилагательные	
208	Another		Прилагательные	
209	Different		Прилагательные	
210	Own		Прилагательные	
211	Hard		Прилагательные	
212	Second		Прилагательные	
213	One		Прилагательные	
214	Many		Прилагательные	
215	New		Прилагательные	
216	Right		Прилагательные	
217	Three		Прилагательные	
218	Even		Прилагательные	
219	High		Прилагательные	
220	Few		Прилагательные	
221	White		Прилагательные	
222	Actual		Прилагательные	
223	Other		Прилагательные	
224	Long		Прилагательные	
225	Great		Прилагательные	
226	Same		Прилагательные	
227	Big		Прилагательные	
228	Still		Прилагательные	
229	Left		Прилагательные	
230	Important		Прилагательные	
841	Breakfast	Завтрак	еда и напитки	
842	Dinner	Обед	еда и напитки	
843	Lunch	Ланч	еда и напитки	
844	Supper	Ужин	еда и напитки	
845	Apple	Яблоко	еда и напитки	
846	Apricot	Абрикос	еда и напитки	
847	Banana	Банан	еда и напитки	
848	Beef	Говядина	еда и напитки	
849	Beefsteak	Бифштекс	еда и напитки	
850	Berry	Ягода	еда и напитки	
851	Beet	Свекла	еда и напитки	
852	Bread	Хлеб	еда и напитки	
853	Butter	Сливочное масло	еда и напитки	
854	Cabbage	Капуста	еда и напитки	
855	Cake	Торт, кекс, пирожное	еда и напитки	
856	Carrot	Морковь	еда и напитки	
857	Caviar	Икра	еда и напитки	
858	Cheese	Сыр	еда и напитки	
859	Chicken	Цыпленок, курятина	еда и напитки	
860	Chocolate	Шоколад	еда и напитки	
861	Corn	Кукуруза	еда и напитки	
862	Cucumber	Огурец	еда и напитки	
863	Egg	Яйцо	еда и напитки	
864	Fish	Рыба	еда и напитки	
865	Flour	Мука	еда и напитки	
866	Fruit	Фрукты	еда и напитки	
867	Garlic	Чеснок	еда и напитки	
868	Goose	Гусь	еда и напитки	
869	Ice-cream	Мороженое	еда и напитки	
870	Jam	Джем, варенье	еда и напитки	
871	Lemon	Лимон	еда и напитки	
872	Liver	Печень	еда и напитки	
873	Meat	Мясо	еда и напитки	
874	Milk	Молоко	еда и напитки	
875	Melon	Дыня	еда и напитки	
876	Mushroom	Гриб	еда и напитки	
877	Nut	Орех	еда и напитки	
878	Oil	Растительное масло	еда и напитки	
879	Omelette	Омлет	еда и напитки	
880	Onion	Лук	еда и напитки	
881	Orange	Апельсин	еда и напитки	
882	Pancakes	Блины, оладьи	еда и напитки	
883	Peach	Персик	еда и напитки	
884	Pear	Груша	еда и напитки	
885	Pepper	Перец	еда и напитки	
886	Pie	Пирог	еда и напитки	
887	Pine-apple	Ананас	еда и напитки	
888	Potatoes	Картофель	еда и напитки	
889	Sugar	Сахар	еда и напитки	
890	Rice	Рис	еда и напитки	
891	Salad	Салат	еда и напитки	
892	Salt	Соль	еда и напитки	
893	Sandwich	Бутерброд, сандвич	еда и напитки	
894	Sausage	Сосиска	еда и напитки	
895	Shrimp	Креветка	еда и напитки	
896	Cherry	Вишня	еда и напитки	
897	Soup	Суп	еда и напитки	
898	Tomato	Помидор	еда и напитки	
899	Vanilla	Ваниль	еда и напитки	
900	Yogurt	Йогурт	еда и напитки	
901	Water melon	Арбуз	еда и напитки	
902	Dish	Блюдо	еда и напитки	
903	Drink	Напиток	еда и напитки	
904	Juice	Сок	еда и напитки	
905	Coffee	Кофе	еда и напитки	
906	Tea	Чай	еда и напитки	
907	Dessert	Десерт	еда и напитки	
908	Snack	Закуска	еда и напитки	
822	Backpack	Рюкзак	путешествия и отдых	
823	Bag	Сумка	путешествия и отдых	
824	Card	Открытка, карточка (банковская)	путешествия и отдых	
825	A delay / to delay	Задержка / задерживать	путешествия и отдых	
826	Destination	Пункт назначения	путешествия и отдых	
827	Luggage (ame: a baggage)	Багаж	путешествия и отдых	
828	Map	Карта	путешествия и отдых	
829	Suitcase	Чемодан	путешествия и отдых	
830	Ticket	Билет	путешествия и отдых	
831	Bicycle	Велосипед	путешествия и отдых	
832	Bus	Автобус	путешествия и отдых	
833	Car	Автомобиль	путешествия и отдых	
834	Plane	Самолет	путешествия и отдых	
835	Ship	Корабль	путешествия и отдых	
836	Taxi (ame: a cab)	Такси	путешествия и отдых	
837	Train	Поезд	путешествия и отдых	
838	Tram (ame: a trolley)	Трамвай	путешествия и отдых	
839	Insurance	Страховка	путешествия и отдых	
542	Work	Работа (в понимании что конкретно вы делаете, рабочее место)	работа и профессии	
543	Job	Работа (в понимании должность в компании, род занятий)	работа и профессии	
544	Profession	Профессия	работа и профессии	
545	Career	Карьера	работа и профессии	
546	Teacher	Учитель, преподаватель	работа и профессии	
547	Musician	Музыкант	работа и профессии	
548	Seller	Продавец	работа и профессии	
549	Businessman	Бизнесмен	работа и профессии	
550	Artist	Художник	работа и профессии	
551	Doctor	Доктор, врач	работа и профессии	
552	Journalist	Журналист	работа и профессии	
553	Worker	Рабочий	работа и профессии	
554	Farmer	Фермер	работа и профессии	
555	Actor	Актер	работа и профессии	
556	Actress	Актриса	работа и профессии	
557	Author	Автор	работа и профессии	
558	Writer	Писатель	работа и профессии	
559	Manager	Менеджер	работа и профессии	
560	Military man	Военный	работа и профессии	
561	Cook	Повар	работа и профессии	
562	Driver	Водитель	работа и профессии	
563	Assistant	Помощник	работа и профессии	
564	Singer	Певец	работа и профессии	
565	Lawyer	Юрист	работа и профессии	
566	Waiter	Официант	работа и профессии	
567	Training	Обучение	работа и профессии	
568	Question	Вопрос	работа и профессии	
569	Answer	Ответ	работа и профессии	
570	Skill	Навык	работа и профессии	
571	Advice	Совет	работа и профессии	
572	Experience	Опыт	работа и профессии	
573	Firm	Фирма	работа и профессии	
574	Company	Компания	работа и профессии	
575	Business	Бизнес, деловой	работа и профессии	
576	Document	Документ	работа и профессии	
577	Data	Данные	работа и профессии	
578	Information	Информация	работа и профессии	
579	Case	Дело	работа и профессии	
580	Process	Процесс	работа и профессии	
581	Offer	Предложение	работа и профессии	
582	Decision	Решение	работа и профессии	
583	Reason	Причина	работа и профессии	
584	Opportunity	Возможность	работа и профессии	
585	Shop	Магазин	работа и профессии	
586	Market	Рынок	работа и профессии	
587	Office	Офис	работа и профессии	
588	Boss	Босс	работа и профессии	
589	Colleague	Коллега	работа и профессии	
590	Meeting	Встреча	работа и профессии	
591	Police	Полиция	работа и профессии	
592	Hospital	Больница	работа и профессии	
593	Bank	Банк	работа и профессии	
594	Cabinet	Кабинет	работа и профессии	
595	Success	Успех	работа и профессии	
596	Money	Деньги	работа и профессии	
597	Situation	Ситуация	работа и профессии	
598	Accident	Случай / происшествие	работа и профессии	
599	Problem	Проблема	работа и профессии	
600	Aim / goal	Цель	работа и профессии	
601	Result	Результат	работа и профессии	
602	Vacation	Отпуск	работа и профессии	
603	Art	Искусство	работа и профессии	
604	Song	Песня	работа и профессии	
605	Picture	Изображение	работа и профессии	
606	Idea	Идея	работа и профессии	
607	Thought	Мысль	работа и профессии	
608	Society	Общество	работа и профессии	
609	Politics	Политика	работа и профессии	
610	Website	Сайт	работа и профессии	
611	Email	Электронная почта	работа и профессии	
612	Link	Ссылка	работа и профессии	
613	Network	Сеть	работа и профессии	
614	Hobby	Увлечение	работа и профессии	
615	Game	Игра	работа и профессии	
616	Sport	спорт и хобби	работа и профессии	
